x,y,dir,ref,pt
-132.5,2.59807621135,2,False,3
-132.5,2.59807621135,8,True,11
-134,1.73205080757,6,False,7
-132.5,2.59807621135,4,False,7
-131,1.73205080757,2,False,7
-128,-1.73205080757,0,False,7
-129.5,-2.59807621135,10,False,7
-137,8.66025403784,6,False,3
-137,8.66025403784,4,True,11
-135.5,7.79422863406,10,False,7
-137,8.66025403784,8,False,7
-137,10.3923048454,6,False,7
-135.5,14.7224318643,4,False,7
-134,13.8564064606,2,False,7
-137,13.8564064606,6,False,7
-128,8.66025403784,4,False,3
-128,8.66025403784,6,True,11
-128,6.92820323028,8,False,7
-128,8.66025403784,6,False,7
-126.5,9.52627944163,4,False,7
-122,10.3923048454,2,False,7
-122,8.66025403784,0,False,7
-123.5,11.2583302492,4,False,7
-123.5,0.866025403784,2,False,3
-123.5,0.866025403784,8,True,11
-125,6.88338275268e-15,6,False,7
-123.5,0.866025403784,4,False,7
-122,6.55031584529e-15,2,False,7
-119,-3.46410161514,0,False,7
-120.5,-4.33012701892,10,False,7
-119,-1.73205080757,2,False,7
-116,-10.3923048454,0,False,3
-116,-10.3923048454,10,True,11
-117.5,-9.52627944163,4,False,7
-116,-10.3923048454,2,False,7
-116,-12.124355653,0,False,7
-117.5,-16.4544826719,10,False,7
-119,-15.5884572681,8,False,7
-116,-15.5884572681,0,False,7
-125,-10.3923048454,10,False,3
-125,-10.3923048454,0,True,11
-125,-8.66025403784,2,False,7
-125,-10.3923048454,0,False,7
-126.5,-11.2583302492,10,False,7
-131,-12.124355653,8,False,7
-131,-10.3923048454,6,False,7
-129.5,-12.9903810568,10,False,7
-111.5,-2.59807621135,2,False,3
-111.5,-2.59807621135,8,True,11
-113,-3.46410161514,6,False,7
-111.5,-2.59807621135,4,False,7
-110,-3.46410161514,2,False,7
-107,-6.92820323028,0,False,7
-108.5,-7.79422863406,10,False,7
-107,-5.19615242271,2,False,7
-38,-55.4256258422,6,False,3
-38,-55.4256258422,4,True,11
-36.5,-56.291651246,10,False,7
-38,-55.4256258422,8,False,7
-38,-53.6935750346,6,False,7
-36.5,-49.3634480157,4,False,7
-35,-50.2294734195,2,False,7
-41,-62.3538290725,10,False,3
-41,-62.3538290725,0,True,11
-41,-60.6217782649,2,False,7
-41,-62.3538290725,0,False,7
-42.5,-63.2198544763,10,False,7
-47,-64.08587988,8,False,7
-47,-62.3538290725,6,False,7
-45.5,-64.9519052838,10,False,7
-45.5,-54.5596004384,8,False,3
-45.5,-54.5596004384,2,True,11
-44,-53.6935750346,0,False,7
-45.5,-54.5596004384,10,False,7
-47,-53.6935750346,8,False,7
