x,y,dir,ref,pt
-2.5,2.59807621135,0,False,7
-1,-3.46410161514,4,False,7
3.5,0.866025403784,8,False,7
-2.5,6.06217782649,0,False,7
6.5,-0.866025403784,8,False,7
-4,-5.19615242271,4,False,7
8,-1.73205080757,10,False,7
-2.5,7.79422863406,2,False,7
-5.5,-6.06217782649,6,False,7
-4,1.73205080757,10,False,7
3.5,2.59807621135,6,False,7
0.5,-4.33012701892,2,False,7
-5.5,-6.06217782649,6,True,11
8,-1.73205080757,2,True,11
-2.5,7.79422863406,10,True,11
0.5,-6.06217782649,0,False,7
-5.5,2.59807621135,8,False,7
5,3.46410161514,4,False,7
6.5,-9.52627944163,6,False,7
-11.5,-0.866025403784,2,False,7
5,10.3923048454,10,False,7
-5.5,-7.79422863406,8,False,7
9.5,-0.866025403784,0,False,7
-4,8.66025403784,4,False,7
-2.5,7.79422863406,0,False,3
-5.5,-6.06217782649,4,False,3
8,-1.73205080757,8,False,3
6.5,-11.2583302492,8,False,7
6.5,11.2583302492,0,False,7
-13,2.6645352591e-15,4,False,7
-2.5,-14.7224318643,6,False,7
14,5.19615242271,10,False,7
-11.5,9.52627944163,2,False,7
-11.5,7.79422863406,0,False,7
-1,-13.8564064606,4,False,7
12.5,6.06217782649,8,False,7
-14.5,-6.06217782649,4,True,11
12.5,-9.52627944163,0,True,11
2,15.5884572681,8,True,11
-10,-12.124355653,4,False,7
-5.5,14.7224318643,0,False,7
15.5,-2.59807621135,8,False,7
12.5,-9.52627944163,10,False,3
-14.5,-6.06217782649,6,False,3
2,15.5884572681,2,False,3
11,-10.3923048454,10,False,7
3.5,14.7224318643,2,False,7
-14.5,-4.33012701892,6,False,7
8,-12.124355653,10,False,7
6.5,12.9903810568,2,False,7
-14.5,-0.866025403784,6,False,7
17,-3.46410161514,10,False,7
-11.5,-12.9903810568,6,False,7
-5.5,16.4544826719,2,False,7
-8.5,-12.9903810568,2,False,7
15.5,-0.866025403784,6,False,7
-7,13.8564064606,10,False,7
-13,6.92820323028,10,False,7
0.5,-14.7224318643,2,False,7
12.5,7.79422863406,6,False,7
-11.5,7.79422863406,10,False,3
12.5,6.06217782649,6,False,3
-1,-13.8564064606,2,False,3
-1,-13.8564064606,8,True,11
12.5,6.06217782649,4,True,11
-11.5,7.79422863406,0,True,11
-14.5,-6.06217782649,8,False,7
12.5,-9.52627944163,0,False,7
2,15.5884572681,4,False,7
-13,-6.92820323028,10,False,7
12.5,-7.79422863406,2,False,7
0.5,14.7224318643,6,False,7
-10,-12.124355653,8,True,11
15.5,-2.59807621135,4,True,11
-5.5,14.7224318643,0,True,11
9.5,-18.1865334795,6,False,7
-20.5,0.866025403784,2,False,7
11,17.3205080757,10,False,7
-16,5.19615242271,10,False,7
3.5,-16.4544826719,2,False,7
12.5,11.2583302492,6,False,7
-10,-12.124355653,2,False,3
15.5,-2.59807621135,6,False,3
-5.5,14.7224318643,10,False,3
18.5,-9.52627944163,6,False,7
-17.5,-11.2583302492,2,False,7
-1,20.7846096908,10,False,7
-11.5,12.9903810568,8,False,7
17,3.46410161514,4,False,7
-5.5,-16.4544826719,0,False,7
15.5,11.2583302492,2,False,7
2,-19.0525588833,10,False,7
-17.5,7.79422863406,6,False,7
18.5,2.59807621135,2,False,7
-7,-17.3205080757,10,False,7
-11.5,14.7224318643,6,False,7
-20.5,-0.866025403784,0,False,7
9.5,18.1865334795,8,False,7
11,-17.3205080757,4,False,7
18.5,-14.7224318643,8,False,7
-22,-8.66025403784,4,False,7
3.5,23.3826859022,0,False,7
-17.5,6.06217782649,8,False,7
14,12.124355653,4,False,7
3.5,-18.1865334795,0,False,7
18.5,-12.9903810568,6,False,7
2,22.5166604984,10,False,7
-20.5,-9.52627944163,2,False,7
-20.5,-0.866025403784,10,False,3
9.5,18.1865334795,6,False,3
11,-17.3205080757,2,False,3
-8.5,23.3826859022,0,False,7
24.5,-4.33012701892,8,False,7
-16,-19.0525588833,4,False,7
11,-17.3205080757,8,True,11
-20.5,-0.866025403784,0,True,11
9.5,18.1865334795,4,True,11
-17.5,-12.9903810568,0,False,7
-2.5,21.6506350946,8,False,7
20,-8.66025403784,4,False,7
-23.5,7.79422863406,0,False,7
18.5,16.4544826719,8,False,7
5,-24.248711306,4,False,7
