x,y,dir,ref,pt
-132.5,2.59807621135,2,False,3
-132.5,2.59807621135,8,True,11
-134,1.73205080757,6,False,7
-132.5,2.59807621135,4,False,7
-131,1.73205080757,2,False,7
-128,-1.73205080757,0,False,7
-129.5,-2.59807621135,10,False,7
-137,8.66025403784,6,False,3
-137,8.66025403784,4,True,11
-135.5,7.79422863406,10,False,7
-137,8.66025403784,8,False,7
-137,10.3923048454,6,False,7
-135.5,14.7224318643,4,False,7
-134,13.8564064606,2,False,7
-137,13.8564064606,6,False,7
-128,8.66025403784,4,False,3
-128,8.66025403784,6,True,11
-128,6.92820323028,8,False,7
-128,8.66025403784,6,False,7
-126.5,9.52627944163,4,False,7
-122,10.3923048454,2,False,7
-122,8.66025403784,0,False,7
-123.5,11.2583302492,4,False,7
-123.5,0.866025403784,2,False,3
-123.5,0.866025403784,8,True,11
-125,6.88338275268e-15,6,False,7
-123.5,0.866025403784,4,False,7
-122,6.55031584529e-15,2,False,7
-119,-3.46410161514,0,False,7
-120.5,-4.33012701892,10,False,7
-119,-1.73205080757,2,False,7
-116,-10.3923048454,0,False,3
-116,-10.3923048454,10,True,11
-117.5,-9.52627944163,4,False,7
-116,-10.3923048454,2,False,7
-116,-12.124355653,0,False,7
-117.5,-16.4544826719,10,False,7
-119,-15.5884572681,8,False,7
-116,-15.5884572681,0,False,7
-125,-10.3923048454,10,False,3
-125,-10.3923048454,0,True,11
-125,-8.66025403784,2,False,7
-125,-10.3923048454,0,False,7
-126.5,-11.2583302492,10,False,7
-131,-12.124355653,8,False,7
-131,-10.3923048454,6,False,7
-129.5,-12.9903810568,10,False,7
-140,20.7846096908,6,False,3
-140,20.7846096908,4,True,11
-138.5,19.918584287,10,False,7
-140,20.7846096908,8,False,7
-140,22.5166604984,6,False,7
-138.5,26.8467875173,4,False,7
-137,25.9807621135,2,False,7
-143,13.8564064606,10,False,3
-143,13.8564064606,0,True,11
-143,15.5884572681,2,False,7
-143,13.8564064606,0,False,7
-144.5,12.9903810568,10,False,7
-149,12.124355653,8,False,7
-149,13.8564064606,6,False,7
-147.5,11.2583302492,10,False,7
-147.5,21.6506350946,8,False,3
-147.5,21.6506350946,2,True,11
-146,22.5166604984,0,False,7
-147.5,21.6506350946,10,False,7
-149,22.5166604984,8,False,7
-152,25.9807621135,6,False,7
-150.5,26.8467875173,4,False,7
-152,24.248711306,8,False,7
-143,29.4448637287,6,False,3
-143,29.4448637287,4,True,11
-141.5,28.5788383249,10,False,7
-143,29.4448637287,8,False,7
-143,31.1769145362,6,False,7
-141.5,35.5070415552,4,False,7
-140,34.6410161514,2,False,7
