x,y,dir,ref,pt
-132.5,2.59807621135,2,False,3
-132.5,2.59807621135,8,True,11
-134,1.73205080757,6,False,7
-132.5,2.59807621135,4,False,7
-131,1.73205080757,2,False,7
-128,-1.73205080757,0,False,7
-129.5,-2.59807621135,10,False,7
-137,8.66025403785,6,False,3
-137,8.66025403785,4,True,11
-135.5,7.79422863406,10,False,7
-137,8.66025403785,8,False,7
-137,10.3923048454,6,False,7
-135.5,14.7224318643,4,False,7
-134,13.8564064606,2,False,7
-137,13.8564064606,6,False,7
-128,8.66025403785,4,False,3
-128,8.66025403785,6,True,11
-128,6.92820323028,8,False,7
-128,8.66025403785,6,False,7
-126.5,9.52627944163,4,False,7
-122,10.3923048454,2,False,7
-122,8.66025403785,0,False,7
-123.5,11.2583302492,4,False,7
-123.5,0.866025403786,2,False,3
-123.5,0.866025403786,8,True,11
-125,1.30850885682e-12,6,False,7
-123.5,0.866025403786,4,False,7
-122,1.30817578992e-12,2,False,7
-119,-3.46410161514,0,False,7
-120.5,-4.33012701892,10,False,7
-119,-1.73205080757,2,False,7
-116,-10.3923048454,0,False,3
-116,-10.3923048454,10,True,11
-117.5,-9.52627944163,4,False,7
-116,-10.3923048454,2,False,7
-116,-12.124355653,0,False,7
-117.5,-16.4544826719,10,False,7
-119,-15.5884572681,8,False,7
-116,-15.5884572681,0,False,7
-125,-10.3923048454,10,False,3
-125,-10.3923048454,0,True,11
-125,-8.66025403784,2,False,7
-125,-10.3923048454,0,False,7
-126.5,-11.2583302492,10,False,7
-131,-12.124355653,8,False,7
-131,-10.3923048454,6,False,7
-129.5,-12.9903810568,10,False,7
-111.5,-2.59807621135,2,False,3
-111.5,-2.59807621135,8,True,11
-113,-3.46410161514,6,False,7
-111.5,-2.59807621135,4,False,7
-110,-3.46410161514,2,False,7
-107,-6.92820323027,0,False,7
-108.5,-7.79422863406,10,False,7
-107,-5.19615242271,2,False,7
