x,y,dir,ref,pt
-38,-55.4256258422,6,False,3
-38,-55.4256258422,4,True,11
-36.5,-56.291651246,10,False,7
-38,-55.4256258422,8,False,7
-38,-53.6935750346,6,False,7
-36.5,-49.3634480157,4,False,7
-35,-50.2294734195,2,False,7
-41,-62.3538290725,10,False,3
-41,-62.3538290725,0,True,11
-41,-60.6217782649,2,False,7
-41,-62.3538290725,0,False,7
-42.5,-63.2198544763,10,False,7
-47,-64.08587988,8,False,7
-47,-62.3538290725,6,False,7
-45.5,-64.9519052838,10,False,7
-45.5,-54.5596004384,8,False,3
-45.5,-54.5596004384,2,True,11
-44,-53.6935750346,0,False,7
-45.5,-54.5596004384,10,False,7
-47,-53.6935750346,8,False,7
-50,-50.2294734195,6,False,7
-48.5,-49.3634480157,4,False,7
-50,-51.9615242271,8,False,7
-41,-46.7653718044,6,False,3
-41,-46.7653718044,4,True,11
-39.5,-47.6313972081,10,False,7
-41,-46.7653718044,8,False,7
-41,-45.0333209968,6,False,7
-39.5,-40.7031939779,4,False,7
-38,-41.5692193817,2,False,7
-41,-41.5692193817,6,False,7
-35,-34.6410161514,4,False,3
-35,-34.6410161514,6,True,11
-35,-36.3730669589,8,False,7
-35,-34.6410161514,6,False,7
-33.5,-33.7749907476,4,False,7
-29,-32.9089653438,2,False,7
-29,-34.6410161514,0,False,7
-30.5,-32.04293994,4,False,7
-30.5,-42.4352447854,2,False,3
-30.5,-42.4352447854,8,True,11
-32,-43.3012701892,6,False,7
-30.5,-42.4352447854,4,False,7
-29,-43.3012701892,2,False,7
-26,-46.7653718044,0,False,7
-27.5,-47.6313972081,10,False,7
-26,-45.0333209968,2,False,7
-44,-34.6410161514,6,False,3
-44,-34.6410161514,4,True,11
-42.5,-35.5070415552,10,False,7
-44,-34.6410161514,8,False,7
-44,-32.9089653438,6,False,7
-42.5,-28.5788383249,4,False,7
-41,-29.4448637287,2,False,7
-44,-29.4448637287,6,False,7
